,title,homesection,publishdate,pageviews,popularity
16416,Lektor om øget forsvarssamarbejde: Lyder lækkert men uden fyld,Ritzau,2018-05-22 12:50:34 UTC,1,0
30017,AKTIER DYKKER,New Articles,2018-07-11 04:45:17 UTC,2,0
8247,Blev ramt af lyn på vej til Danmark: Nu er fly aflyst,112,2018-05-28 19:12:24 UTC,169977,1
35964,Det hele kan eksplodere: Nu kommer Fuglsang-angrebet,Tour de france 2018,2018-07-15 10:42:07 UTC,35482,1
24949,VM-protest på vej i Danmarks gruppe efter flykatastrofe,VM 2018,2018-06-01 11:47:17 UTC,30024,1
6354,TV: Kaptajnen i arbejdsraseri ,Jyllandsyd,2018-11-07 18:48:18 UTC,1621,0
15886,Svensker anholdt ti måneder efter drab på 16-årig i København,Ritzau,2018-08-24 15:16:47 UTC,3,0
927,TV-guide til Storytools,Bibliotek,2018-09-11 14:36:12 UTC,5,0
8362,Russisk journalist fundet dræbt i Ukraine,112,2018-05-29 21:52:18 UTC,12320,1
28238,"Udskældte Junker: Jeg er ligeglad med, at folk snakker negativt om mig",Tipsbladet,2018-08-17 13:31:00 UTC,126,0
18431,Efter historisk triumf: Nu skal Caroline hyldes i København,Tennis,2018-04-25 08:56:09 UTC,49107,1
7168,15 i westernslagsmål: To personer anholdt,112,2018-05-09 22:03:04 UTC,66416,1
21825,Patienter kommer hurtigere hjem - men genindlægges oftere,Samfund,2018-09-06 12:15:23 UTC,1,0
3125,Falleret storklub fyrer spiller: Han var i dårlig form,Engelsk fodbold,2018-09-13 20:15:55 UTC,18,0
4897,Dansker scorer to gange i stort comeback,Skandinavien,2018-09-15 20:37:00 UTC,3,0
3031,TV: Spirevippen tændte håbet ,Jyllandnord,2018-11-06 15:50:34 UTC,382,0
21758,Det skønne vejr fortsætter - masser af pinse-sol,Samfund,2018-05-16 05:56:18 UTC,31977,1
3495,Erkender drab: Her ventede eks-rocker på sit næste offer,Plus,2018-07-25 18:36:57 UTC,6814,0
18808,Får ikke en krone for VM: - Landsholdet handler om ære,Cykling,2018-09-26 14:18:55 UTC,37,0
25501,Brøndbys guldmarch: Polsk måltyv tangerer 11 år gammel rekord,Brøndby,2018-04-29 19:58:10 UTC,64679,1
10745,Betjente ransager kirke i sag om sexmisbrug,112,2018-06-14 03:55:17 UTC,1810,0
17548,Skoler mangler regler for højt fravær,Ritzau,2018-05-02 05:00:03 UTC,1,0
10817,Pludselig stod Movia-bus i flammer,112,2018-04-05 07:17:57 UTC,24002,1
25592,Brøndby efterlyste Elvis på seks år - nu får han sit livs oplevelse,Brøndby,2018-05-08 18:58:11 UTC,25535,1
11959,Giver fingeren til fogeden: Konkursramt mand sætter ild til flyttebil med alle sine ting,112,2018-05-08 15:26:41 UTC,59036,1
32963,To nøgle-løfter ødelagde alt: Derfor var Wieghorst-fyring uundgåelig,Sport og Spil,2018-11-27 09:48:18 UTC,5416,0
3009,Frækkeste bademode nogensinde?: Se video af model KUN iført tape,Event & Kultur,2018-07-16 22:27:05 UTC,308611,1
27000,Her er 13 symptomer på kræft - burde du gå til lægen?,Tæt på,2018-09-26 11:15:20 UTC,14859,1
11102,Drama til NFL-kamp: Seks personer såret af skud,112,2018-10-22 08:50:10 UTC,5306,0
19352,Mueller ser ikke Trump som mistænkt i Ruslands-undersøgelse,Politik,2018-04-04 04:26:34 UTC,195,0
15291,Kan du kende ham? Det laver 'Polle fra Snave' i dag,Kendte,2018-06-10 13:04:09 UTC,25256,1
24626,Mangeårig Novo Nordisk-direktør trækker stikket,Samfund,2018-10-15 12:52:38 UTC,3183,0
811,Afgørelse i racist-sag: Nu får Okore karantæne,AaB,2018-04-27 11:23:33 UTC,15809,1
19069,Mørkepræk,Lederen,2018-08-04 06:00:00 UTC,3614,0
25838,Angreb gør ondt på Haas-boss: Forarget over mangel på respekt,Formel 1,2018-04-25 11:34:27 UTC,48943,1
26124,Kevin pønser på Le Mans med far ,Formel 1,2018-09-19 18:19:23 UTC,165,0
5615,Steen Juul: Ingen modtager ordrer fra mig,Trav,2018-06-19 11:14:51 UTC,1657,0
24244,Verdens første flydende atomkraftværk forlader dansk farvand,Samfund,2018-05-06 15:50:39 UTC,879,0
3873,Legendarisk sanger alvorligt syg,INTL. MusikNYT,2018-08-13 16:11:07 UTC,118988,1
5672,Chelsea klar til finale mod Manchester United,Engelsk fodbold,2018-04-22 18:08:40 UTC,7895,0
25021,Afslører VM-spillere: De sniffer i spillertunnel - det er doping!,VM 2018,2018-07-09 12:42:02 UTC,149139,1
17733,Herning sender landsholdskæmpe mod pension med hyldest,Ritzau,2018-04-07 09:11:40 UTC,1,0
30644,Mette F og vraget S-rebel i strid om sandheden bag fyring,Dansk politik,2018-05-09 08:43:42 UTC,20114,1
3299,"Fodboldspiller afslører: Snyd, sex med familien og mor blev ofret",Fransk fodbold,2018-08-23 10:55:31 UTC,24157,1
34105,Eriksen kan tage kæmpe spring: Nærmer sig CL-rekord,Champions League,2018-09-18 11:45:49 UTC,26,0
21547,Kähler solgt for millionbeløb,Samfund,2018-10-03 15:39:06 UTC,130712,1
26430,Danmarks supervåben frustrerer: Modstandere i åben diskussion,Ishockey,2018-05-12 10:43:26 UTC,42154,1
9975,Efter ophedet debat: Nu offentliggør politiet video af skuddrab,112,2018-07-17 16:50:32 UTC,18544,1
18608,Caroline om sin stress-kamp: 'Mentalt svært',Tennis,2018-10-25 23:05:31 UTC,9407,0
9822,Landsby-drabet: Politi har kig på flere biler,112,2018-07-18 16:02:19 UTC,32944,1
14802,Yousee lækkede kunders hemmelige oplysninger ved en fejl,Finans,2018-06-20 10:48:02 UTC,24,0
34919,DBU-chef afslører vigtig deadline inden Wales-kamp,Landsholdsfodbold,2018-09-06 15:42:54 UTC,13,0
25580,"Hylder Brøndbys guldjagt, men én ting bekymrer",Brøndby,2018-04-23 13:21:25 UTC,45710,1
33690,Voldsomme summer: Storklub skriver historie med stjerneindkøb,Spansk fodbold,2018-06-13 07:55:08 UTC,23587,1
11315,Sydkorea sender ekspræsident 25 år i fængsel for korruption,112,2018-08-24 04:20:04 UTC,140,0
2887,Italiener slår Woods og McIlroy og vinder British Open,Golf,2018-07-22 20:47:40 UTC,1005,0
25583,Nu er Frederik Rønnow solgt: Så mange millioner tjener Brøndby,Brøndby,2018-04-12 15:30:49 UTC,108145,1
26562,Skræmmende finner varmer op til Danmark med ny VM-fest,Ishockey,2018-05-08 23:01:15 UTC,2823,0
4435,Rosenborg vandt uden Bendtner: - Det var klogt ikke at bruge ham,Skandinavien,2018-08-19 22:40:11 UTC,1415,0
35862,Stor Tour-skandale - Sky-rytter smidt ud for at slå!,Tour de france 2018,2018-07-22 21:06:37 UTC,93837,1
27760,Landsholdsspiller i voldsomt trafik-uheld: Kørte galt efter operation,Håndbold,2018-07-23 11:24:20 UTC,19488,1
16073,Magnussen: 11.-plads er ikke et dårligt udgangspunkt,Ritzau,2018-04-14 09:45:50 UTC,1,0
32613,Hylder præsidenten: Danskerklub omdøber sig selv til 'Trump',Intl. fodbold,2018-05-15 07:06:15 UTC,1987,0
23733,Gade-overfald mod gymnasiepige: Danmark sætter mig i bås med tyve og mordere,Samfund,2018-11-15 07:19:46 UTC,72387,1
24197,Arbejdere kan blive alvorligt syge af det kemiske stof krom,Samfund,2018-10-19 11:01:00 UTC,302,0
28551,Efter festival-aflysning: Her er den triste årsag,DK MusikNYT,2018-06-04 11:39:49 UTC,86495,1
33015,Har lille søn med: Topbokser i rockervideo,Sport og Spil,2018-08-16 07:11:15 UTC,8791,0
26560,Drama ved VM: Bombehunde gennemsøger mediecenter,Ishockey,2018-05-05 15:34:16 UTC,29389,1
33510,Stjerne-træner ryger 80 smøger om dagen: Nu træder Chelsea til,Premier League,2018-08-17 08:59:43 UTC,43829,1
21568,Sol og varme andre steder: Men her vil regnen vælte ned,Samfund,2018-07-10 21:19:44 UTC,133985,1
12111,Overblik: Læs ALT om Nymarkskolen her,Fyn,2018-11-14 20:33:42 UTC,168,0
28207,5 vigtige VM-regler: I nogle kampe må man lave fire udskiftninger,Tipsbladet,2018-06-08 14:46:00 UTC,1,0
33881,'Løvens hule'-deltagere er blevet mangemillionærer: - Det er en rigtig stor dag for os,Erhvervsnyheder,2018-08-29 19:36:10 UTC,52157,1
35386,Militær har befriet 1000 fanger,Krig & katastrofer,2018-05-08 09:52:35 UTC,12339,1
19485,Erhvervsmand har været dansker hele livet: Afvist af Støjbergs ministerium,Politik,2018-08-16 07:00:08 UTC,96700,1
5866,Første gang siden 1995: Dansker skriver historie med kæmpe bedrift,Golf,2018-11-04 07:35:49 UTC,96100,1
15746,Zanka: Jeg blev nødt til at lave straffe,Ritzau,2018-07-02 01:13:20 UTC,1,0
12163,TV: Reservernes store dag,Fyn,2018-11-15 20:19:15 UTC,214,0
33006,Bliv klar til bjergene: Det er den vigtigste dag i Tour-manager,Sport og Spil,2018-07-16 14:44:14 UTC,5864,0
19131,Ingen savnede 111 mio.,Lederen,2018-10-14 06:00:00 UTC,11748,1
7771,Britisk politi afviser spor af Novichok på restaurant,112,2018-09-17 04:37:50 UTC,2,0
3380,Landsholdsspiller siger det selv: Slut med kampe for Superliga-klub,OB,2018-04-10 16:27:55 UTC,49281,1
7762,Politi: Specialist-gruppe skal kulegrave Emilie Meng-drabet,112,2018-09-07 12:15:28 UTC,115,0
34610,Charlotte fandt sin mor i 'Sporløs': Sådan er deres forhold i dag,"Film, tv & radio",2018-11-13 20:45:06 UTC,80092,1
6279,Gråsten Skole klar til kvartfinalen,Jyllandsyd,2018-11-07 13:37:11 UTC,864,0
15331,DR med ægte public service: Pik og kusse!,Kendte,2018-10-27 18:46:07 UTC,15184,1
8309,Politi ville konfiskere 23-årigs bil: Men så kastede han nøglerne væk,112,2018-04-09 14:58:34 UTC,77313,1
7322,Politiet finder hash for mindst 25 millioner,112,2018-10-26 10:53:36 UTC,23424,1
25180,Ærgerlig landsholdsspiller: I Danmark har man ikke øjnene åbne for udlandet,VM 2018,2018-05-31 14:27:19 UTC,13957,1
22926,Voldsomme højre-protester hærger i Tyskland efter mord: Nu efterforskes politiet,Samfund,2018-08-30 19:44:04 UTC,11585,1
35317,Advarer evakuerede efter vand-kaos: Bliv væk!,Krig & katastrofer,2018-10-15 10:54:13 UTC,30388,1
22618,Efter hajangreb: Svarer igen med massakre,Samfund,2018-09-24 19:56:44 UTC,140,0
34947,Grædende Nadia Nadim: Min drøm er knust,Landsholdsfodbold,2018-10-09 21:29:33 UTC,38248,1
20075,Medier: Trump amok i Air Force One - hun ringede bare for at sige tillykke,Politik,2018-11-15 11:21:56 UTC,186551,1
14416,Socialdemokraterne flirter med EU-centralisme,Finans,2018-08-02 09:27:01 UTC,1,0
6398,Bagedyst-Rosa om skiftet til TV2: Så må de finde på noget nyt,Event & Kultur,2018-08-24 06:18:59 UTC,10590,0
34643,Rolf er tilbage: Nu vil jeg fandeme ha' lov at kæmpe videre,"Film, tv & radio",2018-10-21 16:18:24 UTC,83366,1
13472,Grund til at frygte en ny EM-krise?,Finans,2018-08-10 16:08:01 UTC,4,0
35895,Fuglsang-boss efter voldsomt styrt: Ruten er alt for farlig,Tour de france 2018,2018-07-09 09:34:28 UTC,24167,1
33118,Se målet: Her bliver vidunder-knægt historisk i Premier League,Premier League,2018-10-20 20:57:19 UTC,30919,1
6645,Massakre i storsejr,Sjællandmidt,2018-09-06 23:47:08 UTC,33,0
8356,"Stor hedebrand kan slå krybdyr, fugle og rådyrlam ihjel",112,2018-05-27 12:28:44 UTC,9372,0
33011,Sådan tjener Marie-Louise kassen på at spille Fortnite,Sport og Spil,2018-05-25 12:22:14 UTC,14580,1
32767,Uretfærdigt! Derfor endte Ronaldo som en tyksak,Sport og Spil,2018-06-01 12:36:02 UTC,7835,0
22044,Risiko for omfattende fiskedød: Den danske natur er ved at koge over,Samfund,2018-07-30 13:31:39 UTC,58537,1
22834,Tinder-tøs deler nettet med toilet-selfie: 'Dit forbandede monster',Samfund,2018-07-06 12:14:47 UTC,91967,1
23966,Medie: Danske Bank-skandalen vokser,Samfund,2018-07-03 20:10:18 UTC,64605,1
2401,Dette ene overraskende træk betyder mest for dit sexliv,Kys & kærlighed,2018-08-16 22:06:36 UTC,43493,1
29942,RF18: Jonas Jung: Støv på Roskilde,New Articles,2018-07-04 11:56:05 UTC,58,0
20129,Har limousiner i døgndrift: Sovset ind i luksus,Politik,2018-07-25 19:52:29 UTC,98544,1
14485,Morten Ballisager tjener millioner på fyringsrunder,Finans,2018-11-08 10:08:01 UTC,1127,0
15468,Dj'en der brændte ud: - Han kommer til at dø af opmærksomhed,Kendte,2018-04-21 06:40:54 UTC,29239,1
2615,Sådan redder du haven efter tørken,Gode råd om,2018-09-08 10:30:39 UTC,20,0
32509,Fodboldens mørke fyrste har mange fjender,Intl. fodbold,2018-06-05 18:08:13 UTC,6397,0
3843,Vejle henter første forårssejr i topkamp mod Vendsyssel,1. division,2018-04-15 15:59:28 UTC,1649,0
24806,Landsholdets kok mandsopdækker VM-spillerne i Rusland,VM 2018,2018-06-03 22:54:52 UTC,1303,0
23219,Varm uge i vente: 25 grader og sol landet over,Samfund,2018-05-21 08:11:16 UTC,51258,1
7964,18-årig blev angrebet af haj og fik bidt sin penis af,112,2018-06-04 21:54:24 UTC,67395,1
24821,Tager pis på stjernen: Gratis shots når Neymar falder,VM 2018,2018-06-28 12:51:09 UTC,26999,1
35427,Dødstallet efter kraftigt jordskælv i Japan stiger,Krig & katastrofer,2018-09-08 11:55:04 UTC,2,0
3703,TV: Kendte ikke sin besøgstid,Jyllandmidt,2018-09-28 18:12:40 UTC,59,0
1675,Seebach i Tivoli: Færdig med manér,Koncert-anm.,2018-09-07 23:56:50 UTC,327,0
22320,Ikonisk billede gik verden rundt: Nu er 15-årig sporløst forsvundet,Samfund,2018-04-01 11:56:25 UTC,95957,1
12225,Populært danskermærke skal laves om til elektrisk flagskib,Biler,2018-11-12 19:58:46 UTC,30938,1
15505,Antallet af seksualforbrydelser blandt unge er stigende,Ritzau,2018-06-12 05:30:01 UTC,496,0
21078,Senator i Mississippi sikrer Republikanernes 53. senatsplads,Samfund,2018-11-28 05:11:22 UTC,683,0
17273,Læger i Gaza forbereder sig på ny uro: Situationen er desperat,Ritzau,2018-05-15 08:44:06 UTC,3,0
8147,Ung pige kastet af bil ved gymnasium,112,2018-04-18 12:35:58 UTC,269393,1
20861,Dansk håndværker fanget på kamera: Sniffer narko i arbejdstiden,Samfund,2018-06-12 18:04:55 UTC,200202,1
28092,Blev sparket ud af London: Nu har Uber vundet sin licens tilbage,Teknologi,2018-06-26 19:10:07 UTC,5508,0
823,Golf-sexbombens hårde melding: Jeg kæmper hver dag,Golf,2018-04-20 22:45:53 UTC,66207,1
212,Mascha Vang flytter til klamydia-hovedstad: Det er ikke min skyld,Event & Kultur,2018-09-09 06:35:48 UTC,529,0
29049,Maskerede mænd skræmte børn - nu uddeler Brøndby karantæner,Superligaen,2018-11-10 10:03:05 UTC,57458,1
8858,Kæmpe røgsøjle over København: Her er forklaringen,112,2018-09-10 10:44:03 UTC,97,0
23181,Mangel på arbejdskraft spreder sig til flere brancher,Samfund,2018-06-18 23:08:10 UTC,2238,0
14586,Uber i nordisk comeback,Finans,2018-07-04 17:58:01 UTC,1,0
29490,Sangerinden har usædvanligt gode 'lunger': Se nyt friskt billede,Intl. kendte,2018-10-05 09:14:37 UTC,163871,1
976,Peter Skaarup: Vi kan kalde det 'banderøveri',Peter Skaarup,2018-11-22 13:32:16 UTC,2714,0
20886,Naiv eller kynisk narkohaj: Mor til fire dømt til døden,Samfund,2018-05-26 17:23:02 UTC,33819,1
16200,Afdøde Carrie Fisher er med i kommende Star Wars-film,Ritzau,2018-07-28 01:16:19 UTC,1,0
23503,To femårige drenge drog selv i svømmehal - og udløste politiaktion,Samfund,2018-09-05 09:01:27 UTC,23,0
30204,"Qvortrup kårer vinderen: Det er en kæmpe, kæmpe sejr",Dansk politik,2018-11-30 21:20:38 UTC,23567,1
5428,Godt nyt til AGF-fans: Afgørelse om stadion til 400 millioner nærmer sig,AGF,2018-11-15 17:58:54 UTC,32104,1
205,Oprykker vækker opsigt: Superligaen ikke sværere end 1. division,Vejle Boldklub,2018-08-08 18:58:15 UTC,710,0
31433,Tiltalt for hæleri: Nu har Maria Hirse skiftet navn - igen,Danske kendte,2018-10-12 06:29:17 UTC,180455,1
388,Vrissen Joachim om fremtiden for Cayx: - Tag det nu roligt!,Danske kongelige,2018-08-04 06:44:22 UTC,193652,1
1620,Brøndby-kollaps i Europa: - Modellen er ikke holdbar,Dansk fodbold,2018-08-25 18:57:31 UTC,9268,0
33408,Flækker af grin på live-tv: Kommentator håner Liverpool-dansker,Premier League,2018-09-06 13:43:32 UTC,165,0
10598,Tidligere PET-chef om undersøgelse af drabschef:- Det er den forkerte vej,112,2018-11-05 17:16:49 UTC,9026,0
15686,Anklagemyndigheden lukker sag om to døde på Christiania,Ritzau,2018-08-21 18:57:18 UTC,1,0
16506,Feltsengene er ankommet - det bliver en lang nat i Forligsen,Ritzau,2018-04-20 15:37:41 UTC,1,0
2285,Gav den en Skalle,Jyllandnord,2018-09-13 18:22:39 UTC,7,0
14433,Sovepiller vækker bekymring i bestyrelsen bag Elon Musk,Finans,2018-08-17 19:52:01 UTC,5,0
23095,Restaurant i historisk hus lukker efter 33 år: I bittert opgør med baron på gods,Samfund,2018-11-07 07:07:59 UTC,138042,1
34114,I sidste øjeblik: Storkampen afgjort af en-øjet angriber,Champions League,2018-09-18 23:01:06 UTC,16,0
31198,Johannes Nymark single igen ,Danske kendte,2018-05-26 14:12:32 UTC,63170,1
21438,Nyt jeans-mærke bliver totalt latterliggjort på de sociale medier,Samfund,2018-05-04 22:15:49 UTC,49404,1
34806,Krisen er total for fodbold-gigant: Her går det galt,Landsholdsfodbold,2018-11-17 19:36:52 UTC,50162,1
3041,Det hvide Danmark: Her bor der færrest indvandrere,NyDanmark,2018-04-03 06:56:53 UTC,121650,1
2599,TV: Dramatik fra pletten i paradiset,Storkøbenhavn,2018-09-07 00:51:43 UTC,49,0
15938,Teknisk nedbrud lammer DSB's billetsystemer,Ritzau,2018-05-13 19:45:58 UTC,3,0
6156,TV: Blev den største,Jyllandmidt,2018-10-25 14:57:33 UTC,264,0
35428,Hjælp til danskere i jordskælvs-område: Ekstra fly bliver sat ind ,Krig & katastrofer,2018-08-06 18:08:26 UTC,1964,0
25431,SLUT: Brøndby snydt for alle tre point,Brøndby,2018-10-22 18:50:08 UTC,59693,1
3082,Italiensk storklubs fans forbyder kvinder på tribunen,Italiensk fodbold,2018-08-19 10:59:15 UTC,23716,1
21070,Spektakulært syn: Nordlys over Island,Samfund,2018-10-01 19:56:42 UTC,15383,1
31302,Kendt skuespiller sælger luksus-sommerhus: Det tjener hun,Danske kendte,2018-09-21 05:52:38 UTC,1448,0
20471,Trumps svigerforældre får statsborgerskab i USA,Politik,2018-08-10 02:04:07 UTC,40315,1
29970,Kort om skrot-sagen,New Articles,2018-04-23 15:56:46 UTC,1,0
35821,Corts holdkammerat afslører: Så kedeligt bliver Tour-triumf 'fejret',Tour de france 2018,2018-07-22 22:38:47 UTC,22982,1
24184,Du vil ikke tro dine egne øjne: Sådan et isbjerg har du aldrig set før,Samfund,2018-10-24 16:12:22 UTC,49752,1
1313,"Sprængfarligt topbrag i Parken: 'Ståle hyler, fordi de er konkurrenter!'",Stig Tøfting,2018-11-25 12:37:20 UTC,22023,1
7111,Nobelpris-skandale: Nu begynder voldtægtssag mod teater-instruktør,112,2018-09-19 05:40:32 UTC,16,0
24823,Dansk slutrunde-debutant i top 3: De var VM's bedste og værste,VM 2018,2018-07-02 18:56:19 UTC,26503,1
35318,Slagtet af isoleret stammefolk: Hans lig kommer aldrig hjem,Krig & katastrofer,2018-11-23 08:34:47 UTC,127188,1
29565,Han mistede både sin verdensberømte mor og søster indenfor 24 timer,Intl. kendte,2018-06-28 10:14:11 UTC,53447,1
5409,TV: Kant sled sig igennem,Jyllandnord,2018-10-09 17:38:44 UTC,1161,0
9443,Politiet skyder og dræber mand i Stockholm,112,2018-08-02 07:22:54 UTC,55762,1
11076,Anklager fastholder krav om millioner i sag mod mediehus,112,2018-11-21 12:28:21 UTC,174,0
20493,Sebastian får 1200 tics i timen: - Jeg bliver ikke længere mobbet,Samfund,2018-06-13 21:08:19 UTC,21915,1
22409,Sæl undslipper akkurat hvidhaj: Se klippet her,Samfund,2018-10-31 13:46:04 UTC,8284,0
3903,Nu har prins Nikolai været til optagelsesprøve: Sådan gik det,Danske kongelige,2018-04-24 14:46:28 UTC,156254,1
702,jesper test,Webmaster test sektion,2018-05-31 13:00:27 UTC,11,0
11549,Drenge fanget på 5. døgn i grotte: Vandet stiger med 15 cm. i timen,112,2018-06-28 12:31:15 UTC,16121,1
32361,FCK røget ud af storklubbernes loge,FC København,2018-04-04 12:33:16 UTC,23477,1
32089,Kendt komiker er blevet single: Det er altid det samme problem,Danske kendte,2018-04-19 10:45:34 UTC,218366,1
8450,Stjal luksusbiler for over en million: Politiet jagter stadig en gerningsmand,112,2018-06-13 13:10:29 UTC,14864,1
10245,Efter eftersøgning af kajakroer: Fundet i god behold,112,2018-06-03 18:44:27 UTC,4980,0
20574,Blev kaldt 'gris' af folk på gaden: Nu er hun ikke til at kende,Samfund,2018-05-25 11:24:07 UTC,121549,1
18857,Tour-vinder fængslet igen: Mishandlede prostitueret på luksushotel,Cykling,2018-08-10 13:14:56 UTC,119012,1
35111,Fodboldkvinder misser seedning: Her er mulige playoff-modstandere,Landsholdsfodbold,2018-09-05 13:38:30 UTC,4,0
14484,Millioner fra verdens rigeste kan havne i Danmark,Finans,2018-11-18 08:33:01 UTC,14,0
30873,Spekulanter forsøgte at gentage svindel med udbytteskat,Dansk politik,2018-10-31 05:05:20 UTC,998,0
18360,Her er Wozniackis næste svære opgave,Tennis,2018-09-15 10:01:06 UTC,1,0
27157,Farvel kære Benny,ingemann,2018-11-15 20:00:00 UTC,10762,0
8215,Mand anmeldte nærgående gris: Politiet fik sig en overraskelse,112,2018-05-21 23:35:46 UTC,56827,1
27620,Professor: Frankrigs VM-titel er en sejr for Afrika,nationen,2018-07-17 10:31:54 UTC,4919,0
11064,Mand dræbt i voldsom ulykke,112,2018-08-29 11:03:25 UTC,240726,1
14343,Thomas Borgen bygger luksushytter for 32 milioner kroner,Finans,2018-10-07 11:48:01 UTC,5072,0
25179,Vildt straffe-drama: Superstjerner kopierer gyser-triumf,VM 2018,2018-07-07 23:11:48 UTC,26022,1
22316,Spritny prognose: Sådan bliver vejret i sommerferien,Samfund,2018-06-12 20:37:42 UTC,223555,1
17758,LTF-medlem fængslet for drabsforsøg på mand fra egen bande,Ritzau,2018-06-07 13:14:54 UTC,17,0
33144,Fyringstruet Chelsea-boss: - Jeg kan ikke ændre mig,Premier League,2018-05-20 13:09:59 UTC,6894,0
26805,Jægersoldaten: Dødbringende legetøj,Meninger,2018-10-18 10:56:13 UTC,4278,0
29287,Kendt sangerinde går fra kæresten,Intl. kendte,2018-07-04 16:29:05 UTC,140052,1
25751,Slut: Trængsler for Kevin - teamkammeraten lynende hurtig,Formel 1,2018-07-27 16:10:58 UTC,79010,1
28928,Brøndbys drømme blev slukket: Horsens-spiller fik guldmedalje,Superligaen,2018-10-25 07:48:27 UTC,28756,1
17425,Fakta: Hvidvask-sagen skridt for skridt,Ritzau,2018-06-25 08:59:15 UTC,1,0
14762,Ryanair lander godt regnskabsår trods 20.000 aflysninger,Finans,2018-05-21 10:18:01 UTC,15,0
30673,Løkke klapper i om annonce-kritik: Mand dig op,Dansk politik,2018-09-21 15:41:22 UTC,45,0
14161,Gang i salget: Coloplast opjusterer og sender en mia. til aktionærerne,Finans,2018-05-03 12:13:01 UTC,9,0
13080,Heftig debat! Må man tage mad med fra hotel-buffeten?,Ferie,2018-11-25 16:23:53 UTC,54559,1
30353,Blodbad i Gaza: Vi flytter os ikke,Dansk politik,2018-05-14 18:20:37 UTC,2821,0
35343,Rusland varsler modsvar: - Vi har advaret,Krig & katastrofer,2018-04-14 05:01:05 UTC,142533,1
19831,Merkels maveplasker: Stor usikkerhed om transitcentre,Politik,2018-07-03 12:36:09 UTC,7892,0
163,Tidligere stofmisbruger tog guldet og går efter verdensrekord,Atletik,2018-04-12 16:10:22 UTC,398,0
31340,Kendt TV2-vært porno-afpresset: - Jeg er SÅ gal,Danske kendte,2018-10-19 05:58:41 UTC,310789,1
7636,Efterlyst for ung hustrus død: Har efterladt sig elektroniske spor ,112,2018-11-27 15:06:45 UTC,88761,1
27636,Skrot-sag tager vild drejning: 50.000 for en Manta fra 1972? ,nationen,2018-04-16 12:19:47 UTC,95037,1
23475,"Den sociale brevkasse: Hjælp, kommunen har stoppet al bistand",Samfund,2018-07-21 10:53:06 UTC,14998,1
23905,Efter brøler: Nu undskylder og betaler Kræftens Bekæmpelse støtte tilbage,Samfund,2018-08-19 18:12:58 UTC,86200,1
13840,Snart bliver der mange flere gråhårede,Finans,2018-07-08 20:48:01 UTC,15,0
35496,Maria i Grækenland: - Jeg ser at det brænder og griber fat i børnene,Krig & katastrofer,2018-07-24 21:20:05 UTC,49444,1
31719,Dansk skuespiller er blevet mor,Danske kendte,2018-08-03 11:48:40 UTC,80654,1
22071,McCain hyldet: Et af de sidste store ikoner,Samfund,2018-08-26 09:11:21 UTC,8994,0
31012,FAKTA: Sådan holder partierne sommergruppemøder,Dansk politik,2018-08-08 16:24:13 UTC,3,0
28317,Gang i svingdøren i OB: Skal have et par spillere mere ,Tipsbladet,2018-07-20 15:01:00 UTC,2,0
17784,Trump truer med 20 procent told på biler fra EU,Ritzau,2018-06-22 21:45:11 UTC,6,0
10601,Far får fængsel på livstid for drab på kone og tre børn,112,2018-10-02 13:22:11 UTC,110815,1
26534,Første guld siden 1981: Aalborg i ekstase!,Ishockey,2018-04-24 20:19:42 UTC,40461,1
24498,Populær turistattraktion lider massedød: Nu skal kunstig befrugtning redde den,Samfund,2018-06-13 19:33:34 UTC,10449,0
23197,Frihedskæmper dræbte ægtepar: Nu er han politianmeldt,Samfund,2018-06-27 23:10:47 UTC,82553,1
9615,"Mor var rædselsslagen for at blive overrasket af sin mand, mens hun voldtog fire-årig søn",112,2018-05-17 15:56:33 UTC,118324,1
32679,Laudrup undrer sig over nyt Madrid-rygte: 'Det er pure opspind',Intl. fodbold,2018-10-30 19:33:44 UTC,45801,1
27700,Forbud: Bekymret politiker vil have nye rygeregler på festivaler,nationen,2018-05-23 15:17:23 UTC,9072,0
30384,Elever frygter forslag fra Alternativet: Fastholder karakterræs,Dansk politik,2018-05-05 20:21:20 UTC,4495,0
30897,Løkke revser Britta: 'Eksklusive rideheste' fremfor de svageste,Dansk politik,2018-11-17 10:47:33 UTC,41614,1
23652,Forskning afslører: Dårlige matematiske evner skyldes genetisk mutation,Samfund,2018-06-06 08:50:00 UTC,60994,1
23930,Vild video: Lille barn leger med enorm pytonslange,Samfund,2018-09-14 22:32:45 UTC,45,0
4812,TV: 'Bedste kampe nogensinde',Jyllandsyd,2018-10-25 18:03:03 UTC,232,0
16634,Benny Andersen bliver begravet i hjemstavnen Sorgenfri,Ritzau,2018-08-23 14:12:51 UTC,1,0
30700,Afviser 100-dobling af parkeringspriser: Ikke med vores stemmer ,Dansk politik,2018-05-02 09:45:18 UTC,16273,1
11297,Solouheld lammer morgentrafikken: Det værste sted,112,2018-11-28 08:15:37 UTC,81708,1
30804,Lokalbanerne stemmer nej: Konflikt truer 11. juni,Dansk politik,2018-06-04 17:07:26 UTC,90546,1
9722,Teenagepige sigtet for flere stenkast fra bro,112,2018-11-02 11:16:07 UTC,51616,1
24102,Mangeårig leder i Zimbabwe Robert Mugabe er blevet indlagt,Samfund,2018-11-25 06:18:24 UTC,1043,0
